,ID,REGION,SUBREGION,COUNTRY,LOCATION,LAT,LON,REEF_SYSTEM,REEF_TYPE,REEF_NAME,WATER_DEPTH,ISLAND_NAME,PROTECTED,TOURISM,COUNTRY_CODE,SIZE
1847,1099,Africa,Eastern Africa,South Africa,,-27.9,32.7,Maputaland reefs,Non-reef coral community,Leadsman Shoal,,,Yes,0,,3
1848,1100,Africa,Eastern Africa,South Africa,,-28.133329999999997,32.7,Maputaland reefs,Non-reef coral community,St. Lucia,,,Yes,0,,3
1849,3869,Africa,Eastern Africa,South Africa,,-28.133329999999997,32.7,Maputaland reefs,Non-reef coral community,Red Sands Reef,,,Yes,0,,3
1854,3871,Africa,Eastern Africa,South Africa,,-26.95,32.93333,Maputaland reefs,Non-reef coral community,Kosi Reef,,,Yes,0,,3
1855,1259,Africa,Eastern Africa,Mozambique,,-26.05,32.95,Maputo Bay,Fringing,Inhaca Island,,,Yes,0,,3
1931,1171,Middle East,Red Sea - Gulf of Aden,Egypt,,28.66667,34.61667,Gulf of Aqaba,,Abu Gallum,,,Yes,0,,3
1938,1174,Middle East,Red Sea - Gulf of Aden,Egypt,,28.0,34.78333,Tiran-Sanafir Islands,,Tiran-Sanafir Islands,,,Yes,1,,3
1966,1172,Middle East,Red Sea - Gulf of Aden,Egypt,,22.76667,36.31667,Gebel Elba,Fringing,Gebel Elba,,,Yes,1,,3
1987,1309,Middle East,Red Sea - Gulf of Aden,Sudan,,19.75,37.41667,Sanganeb Atoll,Atoll,Sanganeb Atoll,,,Yes,0,,3
2005,1358,Africa,Eastern Africa,Tanzania,,-5.46667,39.11667,Maziwi Island,,Maziwi Island,,,Yes,0,,3
2011,1367,Africa,Eastern Africa,Tanzania,,-5.11667,39.21667,Tanga Coral Gardens,,Tanga Coral Gardens,9.14,,Yes,0,,3
2014,1359,Africa,Eastern Africa,Tanzania,,-6.65,39.25,Mbudya Reef,,Mbudya Reef,,,Yes,0,,3
2020,1229,Africa,Eastern Africa,Kenya,,-4.7,39.38333,,Fringing,Kisite,,,Yes,1,,3
2047,1369,Africa,Eastern Africa,Tanzania,,-8.11667,39.7,Tutia Island,,Tutia Island,,,Yes,0,,3
2053,1339,Africa,Eastern Africa,Tanzania,,-7.9833300000000005,39.78333,Mafia Island,Fringing,Chole Bay,,Mafia,Yes,0,,3
2068,1289,,,,,-21.83333,40.0,Ilot de Bassas Da India,Atoll,Ilot de Bassas Da India,,,Yes,0,,3
2070,1175,Middle East,Red Sea - Gulf of Aden,Eritrea,,15.75,40.0,Dahlak,,Dahlak,,,Yes,0,,3
2079,796,Africa,Eastern Africa,Kenya,,-3.23333,40.66667,,Platform,Malindi,,,Yes,1,,3
2083,3772,Africa,Eastern Africa,Kenya,,-2.5,40.75,Ras Tenewi,Patch Reef,Ras Tenewi,,,Yes,0,,3
2097,1230,Africa,Eastern Africa,Kenya,,-1.98333,41.38333,,Fringing,Kiunga,,,Yes,0,,3
2104,1298,Middle East,Red Sea - Gulf of Aden,Saudi Arabia,,17.85,41.71667,Asir,,Asir,,,Yes,0,,3
2106,1306,Africa,Eastern Africa,Somalia,,-1.2166700000000001,41.85,Bushbush,,Bushbush,,,Yes,0,,3
2136,1164,Middle East,Red Sea - Gulf of Aden,Djibouti,,11.71667,43.2,Gulf of Tadjorah,,Musha,,,Yes,0,,3
2156,1253,Africa,Southwest Indian Ocean,Comoros,,-12.96667,45.2,Comoros Group,Barrier,Saziley,,,Yes,0,,3
2158,1252,Africa,Southwest Indian Ocean,Comoros,,-12.85,45.25,Comoros Group,Barrier,Passe en S,,,Yes,0,,3
2168,1299,Africa,Southwest Indian Ocean,Seychelles,,-9.41667,46.41667,Aldabra,Atoll,Aldabra,,,Yes,0,,3
2211,1238,Africa,Southwest Indian Ocean,Madagascar,,-16.33333,49.85,Mananara Marine,,Mananara Marine,,,Yes,0,,3
2244,7989,,,,,-15.866670000000001,54.416669999999996,Reunion,Fringing,Tromelin ( Ile Tromelin ),,,Yes,0,,3
2258,1301,Africa,Southwest Indian Ocean,Seychelles,,-4.63333,55.36666999999999,Baie Ternaie,Fringing,Ternaie Bay ( Baie Ternaie ),,,Yes,0,,3
2259,1304,Africa,Southwest Indian Ocean,Seychelles,,-4.65,55.38333000000001,Port Launay,,Port Launay,,,Yes,0,,3
2266,1305,Africa,Southwest Indian Ocean,Seychelles,,-4.58333,55.5,St. Anne,Fringing,St. Anne,,,Yes,1,,3
2270,1300,Africa,Southwest Indian Ocean,Seychelles,,-4.13333,55.666669999999996,Aride Island,,Aride Island,,,Yes,0,,3
