,lat,lon,popdens
533,49.375,6.875,458.58
534,49.375,7.125,570.04
535,49.375,7.375,355.78
536,49.375,7.875,256.71
537,49.375,8.125,458.58
538,49.375,8.375,475.52
539,49.375,8.625,790.02
540,49.375,8.875,493.08
541,49.375,9.375,286.22
542,49.375,16.625,426.5
543,49.125,-123.875,396.67
544,49.125,-123.125,1312.53
545,49.125,-122.875,982.03
546,49.125,-122.625,296.78
547,49.125,-0.375,1411.26
548,49.125,1.375,296.78
549,49.125,2.375,266.19
550,49.125,5.375,475.52
551,49.125,5.875,286.22
552,49.125,6.125,1463.37
553,49.125,6.875,549.74
554,49.125,7.125,355.78
555,49.125,8.375,286.22
556,49.125,8.625,396.67
557,49.125,8.875,307.74
558,49.125,9.125,761.89
559,49.125,9.375,296.78
560,49.125,16.375,411.31
561,49.125,16.625,1463.37
562,49.125,16.875,256.71
563,49.125,18.875,296.78
564,49.125,33.625,276.02
565,48.875,-0.875,266.19
566,48.875,1.875,343.11
567,48.875,2.125,3622.89
568,48.875,2.375,10000.0
569,48.875,2.625,3022.14
570,48.875,8.125,307.74
571,48.875,8.375,355.78
572,48.875,8.625,819.19
573,48.875,8.875,343.11
574,48.875,9.125,1517.41
575,48.875,9.375,493.08
576,48.875,9.625,493.08
577,48.875,17.125,382.54
578,48.875,36.375,734.75
579,48.875,37.625,1312.53
580,48.875,40.375,256.71
581,48.875,44.625,2521.01
582,48.625,-2.875,307.74
583,48.625,1.875,549.74
584,48.625,2.375,3369.45
585,48.625,6.125,1631.54
586,48.625,6.375,307.74
587,48.625,7.875,256.71
588,48.625,8.375,307.74
589,48.625,8.875,591.09
590,48.625,9.125,635.55
591,48.625,9.375,790.02
592,48.625,9.625,396.67
593,48.625,9.875,396.67
594,48.625,18.375,819.19
595,48.625,22.375,612.92
596,48.625,26.625,343.11
597,48.625,33.125,396.67
598,48.625,38.625,790.02
599,48.625,39.375,1754.26
600,48.625,44.375,708.59
601,48.375,-89.375,319.11
602,48.375,-4.375,276.02
603,48.375,0.375,296.78
604,48.375,9.375,256.71
605,48.375,9.875,442.25
606,48.375,10.125,319.11
607,48.375,10.875,1220.71
608,48.375,17.625,276.02
609,48.375,18.125,458.58
610,48.375,19.625,382.54
611,48.375,35.125,319.11
612,48.375,37.875,819.19
613,48.375,38.125,790.02
614,48.375,38.375,330.89
615,48.375,39.625,411.31
616,48.375,39.875,368.92
617,48.125,-122.125,296.78
618,48.125,-103.625,442.25
619,48.125,-1.625,2028.09
620,48.125,10.125,319.11
621,48.125,11.125,458.58
622,48.125,11.375,659.02
623,48.125,11.625,3895.39
624,48.125,14.375,256.71
625,48.125,15.625,296.78
626,48.125,16.125,343.11
627,48.125,16.375,3133.74
628,48.125,17.125,1886.21
629,48.125,17.875,307.74
630,48.125,19.875,396.67
631,48.125,20.625,307.74
632,48.125,37.875,635.55
633,48.125,38.125,790.02
634,48.125,38.375,982.03
635,48.125,38.875,591.09
636,48.125,40.125,591.09
637,47.875,-122.125,683.35
638,47.875,-0.375,319.11
639,47.875,1.875,530.16
640,47.875,5.375,343.11
641,47.875,8.875,330.89
642,47.875,10.625,549.74
643,47.875,12.125,790.02
644,47.875,22.875,411.31
645,47.875,31.125,819.19
646,47.875,33.375,1886.21
647,47.875,35.125,2810.73
648,47.875,38.125,708.59
649,47.875,40.125,296.78
650,47.875,124.125,382.54
651,47.625,-122.625,880.81
652,47.625,-122.375,4842.16
653,47.625,-122.125,1361.0
654,47.625,-117.375,1094.89
655,47.625,-117.125,286.22
656,47.625,6.125,819.19
657,47.625,6.875,2344.65
658,47.625,7.625,276.02
659,47.625,7.875,276.02
660,47.625,9.125,591.09
661,47.625,9.375,307.74
662,47.625,9.625,307.74
663,47.625,16.625,266.19
664,47.625,17.625,549.74
665,47.625,19.125,880.81
666,47.625,19.375,368.92
667,47.625,123.625,382.54
668,47.625,123.875,382.54
669,47.375,-122.125,761.89
670,47.375,0.625,1094.89
671,47.375,7.375,319.11
672,47.375,7.875,368.92
673,47.375,8.125,458.58
674,47.375,8.375,734.75
675,47.375,8.625,761.89
676,47.375,9.625,368.92
677,47.375,11.375,530.16
678,47.375,18.875,549.74
679,47.375,19.125,382.54
680,47.375,22.375,256.71
681,47.375,28.875,734.75
682,47.375,40.125,1055.9
683,47.375,123.625,382.54
684,47.375,123.875,382.54
685,47.375,124.125,382.54
686,47.375,124.375,256.71
687,47.125,-122.625,266.19
688,47.125,-122.375,530.16
689,47.125,-122.125,493.08
690,47.125,-1.625,355.78
691,47.125,6.875,493.08
692,47.125,20.125,382.54
693,47.125,21.875,286.22
694,47.125,23.125,493.08
695,47.125,23.875,319.11
696,47.125,27.625,2914.52
697,47.125,28.625,382.54
698,47.125,37.625,1361.0
699,47.125,39.625,2614.1
700,47.125,51.875,761.89
701,47.125,123.875,382.54
702,47.125,127.125,296.78
703,47.125,127.375,266.19
704,46.875,-96.875,819.19
705,46.875,-71.375,1819.04
706,46.875,6.875,382.54
707,46.875,16.875,591.09
708,46.875,17.875,296.78
709,46.875,19.625,266.19
710,46.875,23.625,286.22
711,46.875,26.375,382.54
712,46.875,29.625,3133.74
713,46.875,32.625,256.71
714,46.875,35.375,1955.86
715,46.875,124.625,355.78
716,46.875,124.875,355.78
717,46.875,126.875,256.71
718,46.875,127.125,296.78
719,46.875,130.125,1135.32
720,46.875,130.375,1135.32
721,46.625,-1.375,442.25
722,46.625,4.375,549.74
723,46.625,6.625,307.74
724,46.625,11.125,442.25
725,46.625,13.875,296.78
726,46.625,14.375,659.02
727,46.625,16.125,475.52
728,46.625,32.625,1094.89
729,46.625,38.375,355.78
730,46.625,124.875,355.78
731,46.625,125.125,355.78
732,46.625,126.625,296.78
733,46.625,126.875,296.78
734,46.625,131.125,343.11
735,46.625,131.375,343.11
736,46.625,142.875,1055.9
737,46.375,-72.625,612.92
738,46.375,2.625,355.78
739,46.375,4.875,426.5
740,46.375,14.125,307.74
741,46.375,15.125,511.28
742,46.375,17.875,396.67
743,46.375,18.625,330.89
744,46.375,30.625,1754.26
745,46.375,124.625,355.78
746,46.375,124.875,343.11
747,46.125,-64.875,330.89
748,46.125,-1.125,2028.09
749,46.125,1.875,330.89
750,46.125,6.125,570.04
751,46.125,9.375,276.02
752,46.125,11.125,426.5
753,46.125,21.375,635.55
754,46.125,24.375,880.81
755,46.125,122.125,493.08
756,46.125,124.625,355.78
757,46.125,124.875,355.78
758,45.875,1.125,256.71
759,45.875,1.375,286.22
760,45.875,3.125,355.78
761,45.875,4.875,790.02
762,45.875,8.625,635.55
763,45.875,8.875,790.02
764,45.875,9.375,880.81
765,45.875,10.125,256.71
766,45.875,12.375,343.11
767,45.875,25.875,256.71
768,45.875,40.125,1955.86
769,45.875,122.375,426.5
770,45.875,126.375,570.04
771,45.875,126.625,2431.23
772,45.875,126.875,2431.23
773,45.875,131.125,635.55
774,45.875,131.375,635.55
775,45.625,-122.625,1631.54
776,45.625,-73.875,1754.26
777,45.625,-73.625,1463.37
778,45.625,-73.375,319.11
779,45.625,0.125,1691.79
780,45.625,4.875,396.67
781,45.625,5.125,530.16
782,45.625,6.375,286.22
783,45.625,8.875,1631.54
784,45.625,9.125,2614.1
785,45.625,9.375,1177.24
786,45.625,9.625,1361.0
787,45.625,9.875,659.02
788,45.625,11.625,307.74
789,45.625,11.875,511.28
790,45.625,12.125,475.52
791,45.625,12.375,286.22
792,45.625,12.625,343.11
793,45.625,13.875,1955.86
794,45.625,14.875,442.25
795,45.625,25.625,1411.26
796,45.625,122.625,266.19
797,45.625,122.875,426.5
798,45.375,-122.875,355.78
799,45.375,-122.625,683.35
